"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jonathan Krause","TEN","0.0","0.0","0.0","6.3","80.8","0.4","0.0","10.5"
"Corey Fuller","NO","0.0","0.0","0.0","6.0","79.6","0.5","0.5","10.0"
"Seantavius Jones","KC","0.0","0.0","0.0","5.8","72.8","0.5","0.0","10.0"
"DeAngelo Yancey","GB","0.0","0.0","0.0","6.0","68.0","0.5","0.0","9.8"
"Keshawn Martin","DET","0.0","0.0","0.0","7.4","88.6","0.3","0.5","9.7"
"Ryan Switzer","DAL","1.0","4.0","0.0","7.3","86.7","0.1","0.1","9.7"
"Josh Bellamy","CHI","0.1","0.3","0.0","5.6","74.6","0.4","0.1","9.6"
"Cody Core","CIN","0.0","0.0","0.0","7.6","88.8","0.1","0.1","9.5"
"Damiere Byrd","CAR","0.0","0.0","0.0","5.3","73.8","0.4","0.0","9.5"
"DeAndre Smelter","SF","0.0","0.0","0.0","5.2","69.8","0.4","0.0","9.4"
"Trevor Davis","GB","0.0","0.0","0.0","5.2","62.0","0.6","0.2","9.3"
"Brandon Tate","BUF","0.2","2.7","0.0","4.7","67.8","0.4","0.1","9.3"
"Nick Williams","MIA","0.0","0.0","0.0","6.0","74.0","0.3","0.1","9.3"
"Quan Bray","IND","0.1","0.5","0.0","5.8","73.7","0.3","0.0","9.2"
"Harry Douglas","TEN","0.0","0.1","0.0","6.9","84.0","0.2","0.1","9.2"
"Darius Jennings","TEN","0.0","0.0","0.0","6.0","71.5","0.3","0.0","9.1"
"Tre McBride","TEN","0.0","0.0","0.0","5.4","65.6","0.4","0.0","9.1"
"Jake Lampman","NO","0.0","0.0","0.0","5.1","65.0","0.4","0.1","8.9"
"Josh Huff","TB","0.2","0.5","0.0","6.5","67.2","0.4","0.1","8.9"
"Neal Sterling","JAC","0.0","0.0","0.0","6.2","68.2","0.3","0.0","8.8"
"Rashad Greene","JAC","0.0","0.0","0.0","7.2","82.6","0.1","0.0","8.8"
"Arrelious Benn","JAC","0.0","0.0","0.0","3.0","60.4","0.5","0.1","8.7"
"David Moore","SEA","0.0","0.0","0.0","5.0","63.0","0.4","0.0","8.7"
"Amara Darboh","SEA","0.0","0.0","0.0","5.0","63.0","0.4","0.0","8.7"
"Robert Davis","WAS","0.0","0.0","0.0","5.0","70.0","0.3","0.1","8.6"
"Jeremy Butler","BUF","0.0","0.0","0.0","7.0","81.0","0.1","0.1","8.5"
"Tevaun Smith","IND","0.0","0.0","0.0","5.0","61.0","0.4","0.0","8.5"
"Donteea Dye","TB","0.0","0.0","0.0","5.5","66.3","0.3","0.0","8.4"
"Kalif Raymond","DEN","0.0","0.0","0.0","5.0","65.5","0.3","0.0","8.2"
"Paul Turner","PHI","0.0","0.0","0.0","5.9","77.4","0.1","0.1","8.2"
"Chris Matthews","BAL","0.0","0.0","0.0","5.8","62.0","0.4","0.1","8.2"
"Brenton Bersin","CAR","0.0","0.3","0.0","6.7","88.7","0.0","0.5","8.1"
"Dwayne Harris","NYG","0.0","-0.1","0.0","5.6","71.0","0.3","0.3","8.1"
"Aaron Dobson","ARI","0.0","0.0","0.0","5.6","66.5","0.3","0.1","8.0"
"Maurice Harris","WAS","0.0","0.0","0.0","6.8","73.9","0.1","0.1","8.0"
"Isaac Fruechte","MIN","0.0","0.0","0.0","5.0","64.8","0.3","0.0","8.0"
"Demarcus Ayers","PIT","0.2","1.7","0.0","4.1","51.4","0.4","0.0","7.9"
"Walter Powell","BUF","0.0","0.0","0.0","6.1","68.4","0.3","0.4","7.9"
"Bryce Treggs","PHI","0.1","0.1","0.0","4.5","64.9","0.2","0.1","7.8"
"Vince Mayle","BAL","0.0","0.0","0.0","4.9","61.6","0.3","0.0","7.7"
"Noah Brown","DAL","0.0","0.0","0.0","4.0","55.0","0.4","0.1","7.7"
"Josh Malone","CIN","0.0","0.0","0.0","4.0","59.0","0.3","0.0","7.7"
"Daniel Braverman","CHI","0.0","0.0","0.0","4.9","62.0","0.3","0.1","7.7"
"Quinton Patton","NYJ","0.2","1.7","0.0","5.9","52.7","0.4","0.0","7.7"
"Mario Alford","CLE","0.0","0.0","0.0","4.9","60.6","0.3","0.1","7.6"
"Rashad Ross","BUF","0.0","0.0","0.0","6.0","70.3","0.1","0.0","7.6"
"Wendall Williams","HOU","0.0","0.0","0.0","5.0","65.3","0.2","0.0","7.5"
"Jeff Janis","GB","0.1","1.4","0.0","5.4","67.7","0.1","0.1","7.5"
"Jordan Payton","CLE","0.0","0.0","0.0","5.4","67.0","0.1","0.0","7.5"
"Rodney Adams","MIN","0.0","0.0","0.0","5.0","56.0","0.3","0.0","7.4"
"Stacy Coley","MIN","0.0","0.0","0.0","5.0","56.0","0.3","0.0","7.4"
"Isaiah McKenzie","DEN","0.0","0.0","0.0","4.0","57.0","0.3","0.1","7.3"
"Shane Wynn","JAC","0.2","0.7","0.0","4.3","53.6","0.3","0.1","7.3"
"Shelton Gibson","PHI","0.0","0.0","0.0","5.0","54.0","0.3","0.0","7.2"
"Tommylee Lewis","NO","0.1","0.4","0.0","5.9","65.5","0.1","0.1","6.9"
"Jeremy Ross","ARI","0.2","0.6","0.0","5.0","57.9","0.2","0.0","6.9"
"Jehu Chesson","KC","0.0","0.0","0.0","5.0","64.3","0.1","0.1","6.8"
"Trent Taylor","SF","0.0","0.0","0.0","5.0","58.5","0.2","0.1","6.6"
"Frankie Hammond","NYJ","0.0","0.0","0.0","4.9","57.1","0.3","0.4","6.4"
"Tavarres King","NYG","0.0","0.0","0.0","4.3","56.4","0.1","0.0","6.2"
"Dezmin Lewis","BUF","0.0","0.0","0.0","4.0","49.0","0.2","0.0","6.2"
"Jace Billingsley","DET","0.0","0.0","0.0","5.0","60.0","0.0","0.0","6.0"
"Brittan Golden","ARI","0.0","0.0","0.0","4.3","44.7","0.4","0.4","5.9"
"Isaiah Burse","LAC","0.0","0.0","0.0","4.3","52.3","0.1","0.0","5.9"
"Aaron Burbridge","SF","0.0","0.0","0.0","4.6","57.4","0.1","0.3","5.6"
"Paul McRoberts","LAR","0.0","0.0","0.0","5.4","51.8","0.1","0.0","5.5"
"Alex Erickson","CIN","0.0","0.0","0.0","3.9","47.0","0.1","0.1","5.2"
"Geremy Davis","LAC","0.0","0.0","0.0","5.0","44.4","0.1","0.0","5.0"
"De'Anthony Thomas","KC","0.4","2.0","0.0","5.0","40.5","0.2","0.1","5.0"
"Johnny Holton","OAK","0.6","2.8","0.0","3.3","44.4","0.1","0.6","4.3"
"Jakeem Grant","MIA","0.1","0.5","0.0","3.0","40.1","0.2","0.4","4.2"
"Byron Marshall","PHI","0.0","0.0","0.0","2.0","13.0","0.0","0.1","1.1"
"Matt Slater","NE","0.5","0.8","0.0","0.0","1.3","0.0","0.0","0.2"
""
""
